E2 I2
E8 I8
B11 F11
L1 L3
L4 N4
B10 D10
D3 D3
L12 L12
H4 N4
F6 L6
A3 A7
G7 G9
B2 B4
E6 E8
D9 D9
G1 G1
L12 E10
H6 L1
D11 L1
H6 C2
G8 C2
B3 C3
M4 C3
H6 N4
G8 N4
L4 I6
G2 I6
L4 A7
G2 A7
G8 B7
L2 B7
D9 L9
D3 L9
E7 N11
D11 N11
L4 N11
G2 N11
L4 E3
G2 E3
H6 B4
G8 B4
H6 M5
G8 M5
L4 I8
G2 I8
L4 F11
G2 F11
H6 B1
G8 B1
H6 G2
G8 G2
L4 F8
G2 F8
H6 M9
G8 M9
H6 H10
G8 H10
L4 C4
G2 C4
L4 M6
G2 M6
H6 D7
G8 D7
L4 C1
G2 C1
L4 H3
G2 H3
H6 E4
G8 E4
H6 A5
G8 A5
L4 M9
G2 M9
L4 H11
G2 H11
H6 E1
G8 E1
H6 L2
G8 L2
L4 N6
G2 N6
L4 I7
G2 I7
H6 B9
G8 B9
H6 L10
G8 L10
L4 N3
G2 N3
L4 E4
G2 E4
H6 B6
G8 B6
H6 M7
G8 M7
L4 I11
G2 I11
L4 F1
G2 F1
H6 C3
G8 C3
H6 G4
G8 G4
L4 B9
G2 B9
H6 M10
G8 M10
H6 H1
G8 H1
L4 C6
G2 C6
L4 M7
G2 M7
H6 D9
G8 D9
L4 C3
G2 C3
L4 H4
G2 H4
H6 E6
G8 E6
H6 B7
G8 B7
L4 N11
G2 N11
L4 H1
G2 H1
H6 E2
G8 E2
H6 L4
G8 L4
